-1	D_
0	*
-1	D_RLE
-1	D_GRAFEM_DESC
0	ДЕФ
1	ЗПТ
2	ЦБК
3	ЦК
4	двтч
5	квч
-1	D_COLON
0	:
-1	D_LF
0	A0
1	A1
2	A2
3	A3
4	Abbr
5	Adv0
6	Adv1
7	Adv2
8	Adv3
9	Anti
10	AntiBon
11	AntiMagn
12	AntiReal
13	AntiReal1
14	AntiReal2
15	AntiVer
16	Bon
17	Caus
18	Caus1Func0
19	Caus1Func1
20	Caus1Manif
21	Caus1Oper1
22	Caus1Oper2
23	Caus2Func0
24	Caus2Func1
25	Caus2Func2
26	Caus2Oper2
27	Caus3Oper3
28	CausFunc
29	CausFunc0
30	CausFunc1
31	CausFunc2
32	CausIncep
33	CausLiqu
34	CausLoc
35	CausMagn
36	CausManif
37	CausOper1
38	CausOper2
39	CausOper3
40	Centr
41	Copul
42	Culm
43	Fin
44	FinCaus
45	FinFunc0
46	FinOper1
47	FinOper2
48	Func
49	Func0
50	Func1
51	Func2
52	Func3
53	Incep
54	IncepCaus
55	IncepFunc0
56	IncepFunc1
57	IncepLabor21
58	IncepOper1
59	IncepOper2
60	IncepOper3
61	Labor
62	Labor12
63	Labor13
64	Labor21
65	Liqu
66	Liqu1Func0
67	Liqu1Func1
68	Liqu1Labor13
69	Liqu1Oper1
70	Liqu1Oper2
71	Liqu2Func0
72	Liqu2Oper2
73	LiquFunc0
74	LiquFunc1
75	LiquMagn
76	LiquOper1
77	LiquOper2
78	LiquOper3
79	Loc
80	Magn
81	MoveLoc
82	Oper
83	Oper1
84	Oper2
85	Oper3
86	OperCaus
87	Perm2Oper1
88	PermFunc0
89	PermOper1
90	Pred0
91	Real
92	Real1
93	Real2
94	Real3
95	S0
96	S1
97	S2
98	S3
99	S4
100	S_res
101	V0
102	Ver
-1	D_GRAM_FUNCT
0	АББР
1	ГЛ
2	КР
3	НАР
4	ОТР
5	ПРЕВ
6	ПРИД
7	ПРИЛ
8	СОВ
9	СРАВН
10	СУЩ
11	ЧАСТ
-1	D_OPN
0	(
-1	D_SEM_REL
0	ACT
1	ACTUAL
2	ADR
3	AFTER
4	AGENT
5	AIM
6	ALIKE
7	AS
8	ASPECT
9	ATTR
10	AUTHOR
11	BELNG
12	C-AGENT
13	CAUSE
14	COMP
15	COND
16	CONTEN
17	DATE
18	DEGREE
19	EQL
20	ESTIM
21	F-ACT
22	FOR
23	FORM
24	FUNCT
25	IDENT
26	IN-ACCORD
27	IN-DIRECT
28	INCLUDING
29	INSTEAD
30	INSTR
31	ISCONNECTED
32	LOCK_forward
33	LOC_dist
34	LOC_nea
35	LOK
36	MATER
37	MEAN
38	MEDIATOR
39	METHOD
40	MODL
41	MORE
42	MUA
43	MULTI
44	NAME
45	NO_AIM
46	OBJ
47	OBJ.RESLT
48	OPERAT
49	OR
50	PACIEN
51	PARAM
52	PART
53	PROPERT
54	PURP
55	QUANTIT
56	QUANTOR
57	REFERENT
58	REPRES
59	RESLT
60	RESTR
61	S-ACT
62	SCALE
63	SIMULT
64	SPEC
65	SPHERE
66	SRC
67	SRC-PNT
68	SUB
69	THEME
70	THESAME
71	TIME
72	TOGETHER
73	TRG-PNT
74	TYPE-OF
75	UNIT
76	VALUE
-1	D_NUMBERS
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
-1	D_COMMA
0	,
-1	D_ENCYC_FUNC
0	Anti
1	CAP
2	MULT
3	Mesur
4	Param
5	SING
6	БОЛ_РАЗ
7	ВЫШЕ_ГЕО
8	ЖИТЕЛЬ
9	ИСХ-Т
10	КОН-Т
11	НИЖЕ_ГЕО
12	СОСТОИТ
13	ЧАСТЬ
-1	D_THES
-1	D_SF
0	ABSTR
1	ADM
2	AKTIO
3	ANIM
4	ANYTH
5	ARTEF
6	AUTHORIT
7	CAUS
8	CHG
9	CLAS
10	COLLEC
11	COMMUNIC
12	CONTNR
13	DAMAG
14	DEF
15	DEV
16	DIREC
17	EMOT
18	EMPL
19	ENERG
20	ERD
21	EXISTE
22	EXTENS
23	FIN
24	FLUI
25	GEOGR
26	GOOD
27	INF
28	INTEL
29	LEGISL
30	MEASUR
31	MEDINF
32	MOV
33	MULT
34	NATIO
35	NEG
36	ORG
37	P-DEV
