-1	D_
0	*
-1	D_RLE
0	административный
1	администрировать
2	адресный
3	аппаратный
4	архитектурный
5	библиотечный
6	дисковый
7	именной
8	иметь
9	интерфейсный
10	использовать
11	компьютерный
12	мощный
13	нажимать
14	носить
15	программный
16	процессорный
17	разрабатывать
18	содержать
19	создавать
20	специфицировать
21	стирать
22	удалять
23	удерживать
24	файловый
25	форматный
26	шинный
-1	D_GRAFEM_DESC
0	ДЕФ
1	ЗПТ
2	ИЛЕ
3	ЦБК
4	ЦК
5	двтч
6	квч
-1	D_COLON
0	:
-1	D_LF
0	A0
1	A1
2	A2
3	A3
4	AL1
5	Abbr
6	Adv0
7	Adv1
8	Adv2
9	Adv3
10	AntiBon
11	AntiMagn
12	AntiReal
13	AntiReal1
14	AntiReal2
15	AntiVer
16	Bon
17	Caus
18	Caus1Func0
19	Caus1Func1
20	Caus1Manif
21	Caus1Oper1
22	Caus1Oper2
23	Caus2Func0
24	Caus2Func2
25	Caus2Oper2
26	Caus3Oper3
27	CausFunc
28	CausFunc0
29	CausFunc1
30	CausFunc2
31	CausIncep
32	CausLiqu
33	CausLoc
34	CausMagn
35	CausManif
36	CausOper1
37	CausOper2
38	CausOper3
39	Centr
40	Copul
41	Culm
42	Fin
43	FinCaus
44	FinFunc0
45	FinOper1
46	FinOper2
47	Func
48	Func0
49	Func1
50	Func2
51	Func3
52	Incep
53	IncepCaus
54	IncepFunc0
55	IncepFunc1
56	IncepLabor21
57	IncepOper1
58	IncepOper2
59	IncepOper3
60	Labor
61	Labor12
62	Labor13
63	Labor21
64	Liqu
65	Liqu1Func0
66	Liqu1Func1
67	Liqu1Labor13
68	Liqu1Oper1
69	Liqu1Oper2
70	Liqu2Func0
71	Liqu2Oper2
72	LiquFunc0
73	LiquFunc1
74	LiquMagn
75	LiquOper1
76	LiquOper2
77	LiquOper3
78	Loc
79	Magn
80	MoveLoc
81	Oper
82	Oper1
83	Oper2
84	Oper3
85	OperCaus
86	Perm2Oper1
87	PermFunc0
88	PermOper1
89	Pred0
90	Real
91	Real1
92	Real2
93	Real3
94	S0
95	S1
96	S2
97	S3
98	S4
99	S_res
100	V0
101	Ver
-1	D_GRAM_FUNCT
0	АББР
1	ГЛ
2	КР
3	НАР
4	ОТР
5	ПРЕВ
6	ПРИД
7	ПРИЛ
8	СОВ
9	СОКР
10	СОКР_мн
11	СРАВН
12	СУЩ
13	ЧАСТ
-1	D_OPN
0	(
-1	D_SEM_REL
0	ACT
1	ACTUAL
2	ADR
3	AFTER
4	AGENT
5	AIM
6	ALIKE
7	AS
8	ASPECT
9	ATTR
10	AUTHOR
11	BELNG
12	C-AGENT
13	CAUSE
14	COMP
15	COND
16	CONTEN
17	DATE
18	DEGREE
19	EQL
20	ESTIM
21	F-ACT
22	FOR
23	FORM
24	FUNCT
25	IDENT
26	IN-ACCORD
27	IN-DIRECT
28	INCLUDING
29	INSTEAD
30	INSTR
31	ISCONNECTED
32	LOK
33	MATER
34	MEANS
35	MEDIATOR
36	MODL
37	MORE
38	MUA
39	MULTI
40	NAME
41	OBJ
42	OBJ.RESLT
43	OPERAT
44	OR
45	PACIEN
46	PARAM
47	PART
48	PROPERT
49	PURP
50	QUANTIT
51	QUANTOR
52	REPRES
53	RESLT
54	RESTR
55	S-ACT
56	SCALE
57	SIMULT
58	SPEC
59	SPHERE
60	SRC
61	SRC-PNT
62	SUB
63	THEME
64	THESAME
65	TIME
66	TOGETHER
67	TRG-PNT
68	TYPE-OF
69	UNIT
70	VALUE
71	WITH
-1	D_NUMBERS
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
-1	D_COMMA
0	,
-1	D_ENCYC_FUNC
0	Anti
1	CAP
2	MULT
3	Mesur
4	Param
5	SING
6	БОЛ_РАЗ
7	ВЫШЕ_ГЕО
8	ЖИТЕЛЬ
9	ИСХ-Т
10	КОН-Т
11	НИЖЕ_ГЕО
12	ПРИНАДЛ
13	СОСТОИТ
14	ЧАСТЬ
-1	D_THES
-1	D_SF
0	ABSTR
1	ADM
2	AKTIO
3	ANIM
4	ANYTH
5	APP
6	ARTEF
7	AUTHORIT
8	CAUS
9	CHG
10	CLAS
11	COLLEC
12	COMMUNIC
13	CONTNR
14	DAMAG
